Movie,Box_office_crores,Budget_crores,Certificate,Release_Date,Run_time_mins,Director,Producer,Lead_Actor1,Lead_Actor2,Lead_Actor3,Genre1,Genre2,Genre3
judwaa,13,6,U/A,7-Feb-97,148,David Dhawan,Sajid Nadiadwala,Salman Khan,Tabu Hashmi,Karisma Kapoor,Action,Comedy,Drama
shootout-at-wadala,53,49,A,3-May-13,150,Sanjay Gupta,Ekta Kapoor,Kangana Ranaut,Priyanka Chopra,John Abraham,Action,Biography,Crime
rowdy-rathore,131,77,U/A,1-Jun-12,143,Prabhu Dheva,Sanjay Leela Bhansali,Akshay Kumar,Joseph Vijay,Sonakshi Sinha,Action,Comedy,NA
ladies-vs-ricky-bahl,30,20,U/A,9-Dec-11,141,Maneesh Sharma,Aditya Chopra,Anushka Sharma,Ranveer Singh,Parineeti Chopra,Comedy,Drama,Romance
singham-returns,140,105,U/A,15-Aug-14,142,Rohit Shetty,Ajay Devgan,Ajay Devgan,Kareena Kapoor Khan,Anupam Kher,Action,Drama,Crime
mere-brother-ki-dulhan,57,32,U/A,9-Sep-11,139,Ali Abbas Zafar,Aditya Chopra,Katrina Kaif,Imran Khan,Tara D'souza,Comedy,Family,Romance
singh-is-kinng,67,50,U,8-Aug-08,135,Anees Bazmee,Manmohan Shetty,Anees Bazmee,Akshay Kumar,Katrina Kaif,Action,Comedy,Crime
phantom-i,51,72,U/A,28-Aug-15,147,Kabir Khan,Sajid Nadiadwala,Katrina Kaif,Saif Ali Khan,Sabyasachi Chakraborty,Action,Drama,Thriller
partner,60,28,U/A,20-Jul-07,143,David Dhawan,Sohail Khan,Katrina Kaif,Salman Khan,Govinda,Comedy,Drama,Romance
pati-patni-aur-woh1,80,43,U/A,6-Dec-19,135,Mudassar Aziz,Bhushan Kumar,Bhumi Pednekar,Kartik Aaryan,Kriti Sanon,Comedy,Romance,Drama
anjaana-anjaani,40,40,U/A,1-Oct-10,151,Siddharth Anand,Sajid Nadiadwala,Priyanka Chopra,Ranbir Kapoor,Zayed Khan,Comedy,Drama,Musical
khoobsurat,8,6,U/A,19-Sep-14,130,Shashanka Ghosh,Anil Kapoor,Sonam Kapoor,Fawad Afzal Khan,Aditi Rao Hydari,Comedy,Romance,NA
ferrari-ki-sawaari,30,20,U,15-Jun-12,146,Rajesh Mapuskar,Vidhu Vinod Chopra,Vidya Balan,Sharman Joshi,Ritwik Sahore,Comedy,Drama,Family
mere-dad-ki-maruti,10,11,U/A,14-Mar-13,101,Ashima Chibber,Ashish Patil,Rhea Chakraborty,Saqib Saleem,Ram Kapoor,Comedy,Drama,Romance
haraamkhor,1,2,U/A,13-Jan-17,90,Shlok Sharma,Anurag Kashyap,Shlok Sharma,Trimala Adhikari,Nawazuddin Siddiqui,Drama,Romance,NA
force,25,28,U/A,30-Sep-11,135,Nishikant Kamat,Vipul Amrutlal Shah,John Abraham,Genelia D Souza,Vidyut Jamwal,Action,Crime,Drama
shuddh-desi-romance,46,25,U/A,5-Sep-13,141,Maneesh Sharma,Aditya Chopra,Sushant Singh Rajput,Rishi Kapoor,Vaani Kapoor,Drama,Romance,Crime
style1,5,2,U/A,28-Dec-01,160,N. Chandra,Chandrashekhar Narvekar,Chandrashekhar Narvekar,Sharman Joshi,Sahil Khan,Comedy,Musical,Mystery
ek-tha-tiger,186,92,U/A,15-Aug-12,158,Kabir Khan,Aditya Chopra,Katrina Kaif,Salman Khan,Gavie Chahal,Action,Adventure,Crime
satyameva-jayate,79,45,A,15-Aug-18,141,Milap Zaveri,Bhushan Kumar,John Abraham,Manoj Bajpayee,Manish Chaudhari,Action,Thriller,Crime
desi-boyz,45,54,A,25-Nov-11,122,Rohit Dhawan,Krishika Lulla,Akshay Kumar,Deepika Padukone,John Abraham,Comedy,Drama,Romance
barah-aana,0.62,4,U/A,13-Mar-09,97,Raja Krishna Menon,Raja Krishna Menon,Naseeruddin Shah,Tannishtha Chatterjee,Violante Placido,Comedy,Crime,Drama
golmaal-3,108,50,U,5-Nov-10,155,Rohit Shetty,Dhilin Mehta,Ajay Devgan,Mithun Chakraborty,Kareena Kapoor Khan,Action,Comedy,Family
bang-bang-i,141,160,U/A,26-Sep-14,156,Siddharth Anand,Parth Arora,Hrithik Roshan,Katrina Kaif,Jimmy Shergill,Action,Adventure,Comedy
khatta-meetha,39,35,U,23-Jul-10,153,Priyadarshan Nair,,Akshay Kumar,Trisha Krishnan,Nagesh Bhonsle,Comedy,Crime,Drama
bol-bachchan,100,66,U/A,6-Jul-12,154,Rohit Shetty,Ajay Devgan,Asin Thottumkal,Ajay Devgan,Amitabh Bachchan,Action,Comedy,Drama
dhoom3,260,175,U/A,20-Dec-13,173,Vijay Krishna Acharya,Aditya Chopra,Aamir Khan,Katrina Kaif,Abhishek Bachchan,Action,Crime,Drama
ta-ra-rum-pum,38,30,U,27-Apr-07,158,Siddharth Anand,Aditya Chopra,Rani Mukerji,Saif Ali Khan,Victor Banerjee,Family,Romance,Sport
mohenjo-daro,53,138,U/A,11-Aug-16,155,Ashutosh Gowariker,Siddharth Roy Kapur,Pooja Hegde,Hrithik Roshan,Nitish Bharadwaj,Action,Adventure,Drama
ek-main-aur-ekk-tu,40,32,U/A,9-Feb-12,110,Shakun Batra,Karan Johar,Imran Khan,Kareena Kapoor Khan,Zenobia Shroff,Comedy,Drama,Romance
corporate,10,6,U/A,7-Jul-06,143,Madhur Bhandarkar,,Bipasha Basu,Atul Kulkarni,Kay Kay Menon,Drama,NA,NA
i-hate-luv-storys,43,23,U/A,2-Jul-10,134,Punit Malhotra,Karan Johar,Sonam Kapoor,Imran Khan,Sammir Dattani,Comedy,Drama,Romance
ghayal-once-again,26,50,U/A,5-Feb-16,128,Sunny Deol,Dharmendra,Sunny Deol,Soha Ali Khan,Manoj Joshi,Action,Adventure,Drama
naam-shabana,36,33,U/A,30-Mar-17,148,Shivam Nair,Neeraj Pandey,Akshay Kumar,Prithviraj Sukumaran,Anupam Kher,Action,Adventure,Thriller
aaja-nachle,14,20,U,30-Nov-07,137,Anil Mehta,Aditya Chopra,Irrfan Khan,Madhuri Dixit,Akshaye Khanna,Drama,Family,Musical
kis-kisko-pyaar-karoon,42,16,U/A,23-Sep-15,136,Abbas Alibhai Burmawalla,Ganesh Jain,Mastan Alibhai Burmawalla,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Comedy,Romance,NA
kick,211,140,U/A,24-Jul-14,146,Sajid Nadiadwala,Sajid Nadiadwala,Mithun Chakraborty,Salman Khan,Randeep Hooda,Action,Crime,Romance
housefull,72,47,U/A,30-Apr-10,154,Sajid Khan,Sajid Nadiadwala,Akshay Kumar,Arjun Rampal,Deepika Padukone,Comedy,Drama,Musical
kaalakaandi,4,18,A,12-Jan-18,112,Akshat Verma,Rohit Khattar,Saif Ali Khan,Sobhita Dhulipala,Amyra Dastur,Comedy,Thriller,Drama
arjun-the-warrior-prince,1,7,U/A,25-May-12,96,Arnab Chaudhuri,,Yudhveer Bakoliya,Ila Arun,Sachin Khedekar,Animation,Action,Adventure
traffic-signal,8,5,U/A,2-Feb-07,129,Madhur Bhandarkar,,Konkona Sen Sharma,Neetu Chandra,Upendra Limaye,Drama,NA,NA
36-china-town,23,19,U/A,21-Apr-06,140,Abbas Alibhai Burmawalla,Subhash Ghai,Mastan Alibhai Burmawalla,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Comedy,Mystery,Thriller
miss-lovely1,0.37,5,A,17-Jan-14,113,Ashim Ahluwalia,Sanjay Shah,Niharika Singh,Anil George,Meneka Lalwani,Crime,Drama,Romance
housefull-2,111,72,U/A,5-Apr-12,161,Sajid Khan,Sajid Nadiadwala,Akshay Kumar,Asin Thottumkal,John Abraham,Comedy,Family,Musical
patiala-house,32,50,U,10-Feb-11,140,Nikhil Advani,Bhushan Kumar,Anushka Sharma,Akshay Kumar,Rishi Kapoor,Comedy,Drama,Sport
maine-pyaar-kyun-kiya,25,15,U,15-Jul-05,145,David Dhawan,Dhilin Mehta,Katrina Kaif,Salman Khan,Arshad Warsi,Comedy,Drama,Romance
de-dana-dan,48,60,U/A,27-Nov-09,163,Priyadarshan Nair,Bharat S Shah,Akshay Kumar,Katrina Kaif,Sunil Shetty,Comedy,Drama,Musical
zero,88,270,U/A,21-Dec-18,164,Aanand L. Rai,Aanand L Rai,Anushka Sharma,Rani Mukerji,Alia Bhatt,Romance,Sci-fi,Drama
ankur-arora-murder-case,0.58,7,U/A,14-Jun-13,135,Suhail Tatari,Vikram Bhatt,Kay Kay Menon,Vishakha Singh,Manish Chaudhari,Drama,Thriller,NA
matru-ki-bijlee-ka-mandola,38,41,U/A,10-Jan-13,151,Vishal Bhardwaj,Vishal Bhardwaj,Anushka Sharma,Imran Khan,Lekha Washington,Comedy,Drama,NA
chashme-baddoor,68,19,U/A,5-Apr-13,132,David Dhawan,,Siddharth Narayan,Rishi Kapoor,Anupam Kher,Comedy,Drama,Romance
saawariya,20,45,U,8-Nov-07,142,Sanjay Leela Bhansali,Sanjay Leela Bhansali,Sonam Kapoor,Rani Mukerji,Ranbir Kapoor,Drama,Musical,Romance
raaz-the-mystery-continues,25,18,U/A,23-Jan-09,146,Mohit Suri,Mukesh Bhatt,Emraan Hashmi,Kangana Ranaut,Jackie Shroff,Horror,Mystery,Thriller
yamla-pagla-deewana,30,46,U/A,14-Jan-11,163,Samir Karnik,Nitin Manmohan,Ajay Devgan,Dharmendra,Bobby Deol,Action,Comedy,Drama
krrish-3,175,95,U,31-Oct-13,152,Rakesh Roshan,Rakesh Roshan,Kangana Ranaut,Hrithik Roshan,Priyanka Chopra,Action,Adventure,Romance
race-2,93,94,U/A,25-Jan-13,146,Abbas Mustan,Ramesh Taurani,Saif Ali Khan,Anil Kapoor,John Abraham,Action,Crime,Thriller
shaadi-ke-side-effects,38,43,U/A,28-Feb-14,145,Saket Chaudhary,Shobha Kapoor,Vidya Balan,Farhan Akhtar,Rati Agnihotri,Comedy,Romance,Romantic comedy
bharat,197,240,U/A,5-Jun-19,155,Ali Abbas Zafar,Bhushan Kumar,Varun Dhawan,Katrina Kaif,Salman Khan,Drama,Action,NA
mukhbiir,0.16,3,U/A,22-Aug-08,132,Mani Shankar,Sudhish Ram Medhla,Jackie Shroff,Sunil Shetty,Sammir Dattani,Crime,Drama,Mystery
garv-pride-and-honour,20,8,A,9-Jul-04,162,Puneet Issar,Prem Krishan,Salman Khan,Anupam Kher,Nimai Bali,Action,Crime,Drama
student-of-the-year,65,65,U,19-Oct-12,136,Karan Johar,Shah Rukh Khan,Abhishek Varman,Sidharth Malhotra,Varun Dhawan,Comedy,Drama,Romance
ramji-londonwaley,1,4,U/A,2-Sep-05,154,Sanjay Dayma,Sunanda Murali Manohar,R Madhavan,Amitabh Bachchan,Vishwa Bhanu,Comedy,Drama,Family
dobaara-see-your-evil,1,10,A,21-Sep-18,67,Prawaal Raman,Sunil Shah,Parvathy Omanakuttan,Saqib Saleem,Huma Qureshi,Drama,Horror,Romance
force-2,31,41,U/A,17-Nov-16,126,Abhinay Deo,Vipul Amrutlal Shah,John Abraham,Sonakshi Sinha,Tahir Raj Bhasin,Action,Adventure,Crime
made-in-china1,10,30,U/A,25-Oct-19,135,Mikhil Musale,Dinesh Vijan,Jay Bhatt,Jeffrey Ho,Amyra Dastur,Drama,Comedy,NA
billu,22,27,U/A,12-Feb-09,137,Priyadarshan Nair,,Deepika Padukone,Priyanka Chopra,Irrfan Khan,Comedy,Drama,Musical
dhol,16,14,U,14-Sep-07,142,Priyadarshan Nair,Satish Kaushik,Sharman Joshi,Tanushree Dutta,Tusshar Kapoor,Comedy,Crime,Mystery
lucknow-central,11,30,U/A,14-Sep-17,147,Ranjit Tiwari,Madhu Bhojwani,Farhan Akhtar,Gippy Grewal,Deepak Dobriyal,Action,Crime,Drama
a-gentleman,38,60,U/A,25-Aug-17,132,Raj Nidimoru,Vijay Singh,Krishna D.k.,Krishna Dk,Sidharth Malhotra,Action,Comedy,Romance
commando-a-one-man-army,21,17,U/A,11-Apr-13,120,Dilip Ghosh,Vipul Shah,Jigar Gill,Hsieh Chang Hai,Nelson Liao Sheng Hua,Action,Adventure,Drama
dilwale,139,165,U/A,17-Dec-15,155,Rohit Shetty,Rohit Shetty,Kriti Sanon,Varun Dhawan,Kajol Devgn,Action,Comedy,Crime
anwar,0.08,3,U/A,12-Jan-07,144,Manish Jha,Rajesh Singh,Manish Jha,Manisha Koirala,Siddharth Koirala,Drama,Romance,Thriller
woh-lamhe,6,7,A,29-Sep-06,132,Mohit Suri,Mukesh Bhatt,Kangana Ranaut,Shiney Ahuja,Mirza Abbas Ali,Biography,Drama,Romance
singh-is-bliing,116,91,U/A,1-Oct-15,141,Prabhu Dheva,Ashvini Yardi,Akshay Kumar,Shahid Kapoor,Amy Jackson,Action,Comedy,Drama
jab-harry-met-sejal1,62,119,U/A,3-Aug-17,143,Imtiaz Ali,Gauri Khan,Anushka Sharma,Shah Rukh Khan,Rana Ranbir,Comedy,Drama,Romance
golmaal-again,205,142,U/A,19-Oct-17,151,Rohit Shetty,Ajay Devgan,Deepika Padukone,Ajay Devgan,Nana Patekar,Action,Comedy,Fantasy
jai-ho-i,109,102,U/A,23-Jan-14,145,Sohail Khan,Sunil Lulla,Salman Khan,Tabu Hashmi,Sunil Shetty,Action,Crime,Drama
happy-new-year-i,178,150,U,23-Oct-14,180,Farah Khan,Shah Rukh Khan,Deepika Padukone,Shah Rukh Khan,Abhishek Bachchan,Action,Comedy,Crime
r-rajkumar,65,58,U/A,5-Dec-13,146,Prabhu Dheva,Sunil Lulla,Shahid Kapoor,Sonakshi Sinha,Ragini Dwivedi,Action,Romance,Comedy
baaghi,76,37,U/A,28-Apr-16,139,Sabbir Khan,Sajid Nadiadwala,Tiger Shroff,Shraddha Kapoor,Riteish Deshmukh,Action,Romance,Thriller
raavan,28,55,U,18-Jun-10,138,Mani Ratnam,Mani Ratnam,Vikram,Aishwarya Rai Bachchan,Govinda,Action,Adventure,Crime
london-dreams,25,63,U,30-Oct-09,152,Vipul Amrutlal Shah,Aashin A Shah,Asin Thottumkal,Ajay Devgan,Salman Khan,Drama,Music,Musical
heropanti,50,25,U/A,22-May-14,146,Sabbir Khan,Sajid Nadiadwala,Kriti Sanon,Tiger Shroff,Prakash Raj,Action,Romance,Drama
dharam-sankat-mein,9,14,U/A,10-Apr-15,129,Fuwad Khan,Sajjad Chunawala,Naseeruddin Shah,Gippy Grewal,Auritra Ghosh,Comedy,Drama,NA
golmaal-returns,51,35,U,29-Oct-08,135,Rohit Shetty,Dhilin Mehta,Ajay Devgan,Kareena Kapoor Khan,Sharman Joshi,Comedy,Crime,Drama
do-lafzon-ki-kahani,2,11,U/A,10-Jun-16,127,Deepak Tijori,Sunil A Lulla,Kajal Aggarwal,Randeep Hooda,Mamik,Action,Drama,Romance
main-tera-hero,53,41,U/A,3-Apr-14,128,David Dhawan,Ekta Kapoor,Ileana D'cruz,Varun Dhawan,Salman Khan,Action,Comedy,Romance
monsoon-shootout,0.71,12,U/A,15-Dec-17,92,Amit Kumar,Guneet Monga,Geetanjali Thapa,Tannishtha Chatterjee,Neeraj Kabi,Action,Crime,Drama
housefull-3,108,97,U/A,2-Jun-16,134,Farhad Samji,Sajid Nadiadwala,Sajid,Sajid Samji,Akshay Kumar,Action,Comedy,Drama
agent-vinod,43,60,U/A,23-Mar-12,162,Sriram Raghavan,Saif Ali Khan,Saif Ali Khan,Kareena Kapoor Khan,Adil Hussain,Action,Adventure,Thriller
dabangg-2,149,84,U/A,20-Dec-12,129,Arbaaz Khan,Arbaaz Khan,Sonakshi Sinha,Salman Khan,Kareena Kapoor Khan,Action,Comedy,Drama
kyaa-kool-hai-hum,15,5,A,6-May-05,172,Sangeeth Sivan,Ekta Kapoor,Riteish Deshmukh,Anupam Kher,Tusshar Kapoor,Comedy,Mystery,NA
daawat-e-ishq,35,32,U,5-Sep-14,123,Habib Faisal,Aditya Chopra,Anupam Kher,Aditya Roy Kapoor,Karan Wahi,Comedy,Drama,Romance
raja-natwarlal,23,47,U/A,29-Aug-14,142,Kunal Deshmukh,Ronnie Screwvala,Emraan Hashmi,Humaima Malick,Kay Kay Menon,Drama,Thriller,Crime
7-khoon-maaf,19,25,U,17-Feb-11,137,Vishal Bhardwaj,Vishal Bhardwaj,Priyanka Chopra,John Abraham,Irrfan Khan,Drama,Mystery,Thriller
phillauri,25,29,U/A,23-Mar-17,137,Anshai Lal,Anushka Sharma,Mehreen Pirzada,Anushka Sharma,Diljit Dosanjh,Comedy,Drama,Fantasy
dishoom,68,61,U/A,28-Jul-16,124,Rohit Dhawan,Sajid Nadiadwala,Akshay Kumar,Varun Dhawan,John Abraham,Action,Adventure,Comedy
inkaar,10,14,U/A,18-Jan-13,130,Sudhir Mishra,Viki Rajani,Arjun Rampal,Amaan Khan,Mithun Rodwittiya,Drama,Romance,Thriller
baaghi-2,160,59,U/A,23-Mar-18,144,Ahmed Khan,Sajid Nadiadwala,Tiger Shroff,Shraddha Kapoor,Disha Patani,Action,Romance,Thriller
the-hero-love-story-of-a-spy,45,35,U,10-Apr-03,160,Anil Sharma,Pravin Shah,Priyanka Chopra,Sunny Deol,Preity Zinta,Action,Adventure,Drama
boss-i,49,70,U/A,16-Oct-13,144,Anthony D'souza,Ashwin Varde,Akshay Kumar,Amitabh Bachchan,Sonakshi Sinha,Action,Comedy,Drama
kismat-konnection,22,27,U,18-Jul-08,153,Aziz Mirza,Ramesh Sadhuram Taurani,Shahid Kapoor,Vidya Balan,Shah Rukh Khan,Comedy,Drama,Romance
bullett-raja,53,52,U/A,28-Nov-13,138,Tigmanshu Dhulia,Tigmanshu Dhulia,Saif Ali Khan,Sonakshi Sinha,Jimmy Shergill,Action,Crime,Drama
bodyguard,144,70,U/A,30-Aug-11,134,Siddique,Alvira Khan,Katrina Kaif,Salman Khan,Kareena Kapoor Khan,Action,Romance,Drama
lateef-film,0.67,4,U/A,20-Jun-15,109,Israr Ahmed,,Nawazuddin Siddiqui,Sudesh Berry,Pratima Kazmi,Action,Crime,Drama
jal,0.51,6,U/A,4-Apr-14,135,Girish Malik,Girish Malik,Habib Aazmi,Kusum Ahir,Tannishtha Chatterjee,Drama,NA,NA
mere-baap-pehle-aap,22,20,U,13-Jun-08,161,Priyadarshan Nair,Raman Maroo,Akshaye Khanna,Naseeruddin Shah,Genelia D Souza,Comedy,Drama,Romance
salaam-e-ishq,22,43,U/A,25-Jan-07,215,Nikhil Advani,Mukesh Talreja,Vidya Balan,Priyanka Chopra,John Abraham,Comedy,Drama,Musical
phata-poster-nikhla-hero,72,54,U,19-Sep-13,146,Rajkumar Santoshi,Ramesh Sadhuram Taurani,Ileana D'cruz,Shahid Kapoor,Salman Khan,Action,Comedy,Drama
kyaa-super-kool-hain-hum,42,19,A,27-Jul-12,137,Sachin Yardi,Shobha Kapoor,Riteish Deshmukh,Anupam Kher,Neha Sharma,Comedy,Romance,NA
heroine,33,35,U,21-Sep-12,150,Madhur Bhandarkar,Madhur Bhandarkar,Arjun Rampal,Kareena Kapoor Khan,Randeep Hooda,Drama,NA,NA
baadshaho,65,90,U/A,31-Aug-17,136,Milan Luthria,Bhushan Kumar,Emraan Hashmi,Ileana D'cruz,Ajay Devgan,Action,Adventure,Thriller
sixteen,1,2,A,12-Jul-13,138,Raj Purohit,Shailesh R Singh,Wamiqa Gabbi,Zakir Hussain,Prableen Sandhu,Drama,Romance,Thriller
batti-gul-meter-chalu,36,49,U/A,20-Sep-18,175,Shree Narayan Singh,Bhushan Kumar,Shree Narayan Singh,Ram Charan Teja,Shahid Kapoor,Comedy,Drama,NA
once-upon-a-time-in-mumbai-dobaara,91,85,U/A,15-Aug-13,160,Milan Luthria,Ekta Kapoor,Akshay Kumar,Vidya Balan,Imran Khan,Action,Crime,Drama
prem-ratan-dhan-payo,194,180,U,12-Nov-15,174,Sooraj R. Barjatya,Ajit Kumar Barjatya,Sooraj R. Barjatya,Sonam Kapoor,Salman Khan,Action,Comedy,Drama
main-aur-charles,5,10,A,30-Oct-15,123,Prawal Raman,Vikram Khakhar,Anastasia Fullfina,Randeep Hooda,Richa Chadda,Action,Biography,Crime
halla-bol,12,27,U/A,11-Jan-08,148,Rajkumar Santoshi,Samee Siddiqui,Mohanlal Viswanathan,Mammootty,Vidya Balan,Crime,Drama,Action
gulaab-gang,10,29,U/A,6-Mar-14,139,Soumik Sen,Anubhav Sinha,Madhuri Dixit,Juhi Chawla,Tannishtha Chatterjee,Action,Drama,NA
thank-you-i,45,61,U,7-Apr-11,125,Anees Bazmee,Twinkle Khanna,Anees Bazmee,Sonam Kapoor,Akshay Kumar,Comedy,Crime,Drama
total-dhamaal,150,113,U,21-Feb-19,135,Indra Kumar,Ajay Devgan,Ajay Devgan,Madhuri Dixit,Sonakshi Sinha,Comedy,Drama,Action
grand-masti,91,34,A,13-Sep-13,137,Indra Kumar,Bharat S Shah,Riteish Deshmukh,Vivek Oberoi,Manjari Phadnis,Comedy,Drama,Romance
ekk-deewana-tha,5,14,U/A,16-Feb-12,137,Gautham Menon,Gautham Menon,Samantha Ruth Prabhu,Amy Jackson,Prateik Babbar,Drama,Romance,NA
cheat-india,8,20,U/A,17-Jan-19,135,Soumik Sen,Bhushan Kumar,Emraan Hashmi,Shreya Dhanwanthary,Durgesh Kumar,Drama,Comedy,Crime
meri-pyaari-bindu,9,22,U/A,11-May-17,117,Akshay Roy,Aditya Chopra,Biswajit Chakraborty,Ayushmann Khurrana,Amrita Bagchi,Drama,Romance,Comedy
bank-chor,7,15,U/A,16-Jun-17,129,Bumpy,Aditya Chopra,Riteish Deshmukh,Rhea Chakraborty,Vivek Oberoi,Comedy,Thriller,Crime
mental-hai-kya,33,32,U/A,25-Jul-19,135,Prakash Kovelamudi,Ekta Kapoor,Kangana Ranaut,Jimmy Shergill,Karan Ashar,Comedy,Drama,Mystery
akira-i,26,32,U/A,1-Sep-16,138,A.r. Murugadoss,Ar Murugadoss,Ar Murugadoss,Sonakshi Sinha,Konkona Sen Sharma,Action,Crime,Drama
dhadak,72,41,U/A,20-Jul-18,137,Shashank Khaitan,Karan Johar,Balaji Gauri,Aishwarya Narkar,Shalini Kapoor,Drama,Romance,Comedy
its-entertainment,64,81,U/A,7-Aug-14,141,Sajid Nadiadwala,Ramesh Sadhuram Taurani,Farhad Samji,Sajid,Rick Alverson,Drama,Action,Comedy
welcome-back,95,108,U/A,3-Sep-15,153,Anees Bazmee,Anees Bazmee,Anees Bazmee,John Abraham,Nana Patekar,Action,Comedy,Crime
mausam,31,49,U,22-Sep-11,164,Pankaj Kapur,Madhu Mantena Varma,Sonam Kapoor,Shahid Kapoor,Anupam Kher,Drama,Romance,War
thoda-pyaar-thoda-magic,21,23,U,27-Jun-08,145,Kunal Kohli,Aditya Chopra,Rani Mukerji,Saif Ali Khan,Rishi Kapoor,Comedy,Drama,Family
chalk-n-duster-i,1,12,U,15-Jan-16,130,Jayant Gilatar,Amin Surani,Rishi Kapoor,Juhi Chawla,Jackie Shroff,Drama,NA,NA
u-me-aur-hum,20,25,U/A,10-Apr-08,167,Ajay Devgan,Ajay Devgan,Ajay Devgan,Kajol Devgn,Isha Sharvani,Drama,Musical,Romance
son-of-sardaar,88,67,U/A,13-Nov-12,141,Ashwani Dhir,Ajay Devgan,Anil Devgan,Ashwani Dheer,Ajay Devgan,Action,Comedy,Drama
khiladi-786,64,63,U,7-Dec-12,141,Ashish R. Mohan,Sunil Lulla,Kushal Ved Bakshi,Ashish R Mohan,Akshay Kumar,Action,Comedy,Drama
jhootha-hi-sahi,15,35,U,22-Oct-10,149,Abbas Tyrewala,Abbas Tyrewala,R Madhavan,Imran Khan,John Abraham,Comedy,Drama,Romance
satya-2,2,14,A,24-Oct-13,132,Ram Gopal Varma,M Sumanth Kumar Reddy,Puneet Singh Ratn,Anaika Soti,Saini S. Johray,Crime,Drama,Action
tubelight,114,135,U,23-Jun-17,136,Kabir Khan,Salman Khan,Salman Khan,Shah Rukh Khan,Kapil Sharma,Action,Drama,War
irada,0.8,7,U/A,16-Feb-17,109,Aparna Singh,Prince Soni,Nishant Tripathi,Naseeruddin Shah,Sagarika Ghatge,Drama,Mystery,Thriller
raaz-3-the-third-dimension,67,31,A,7-Sep-12,135,Vikram Bhatt,Mukesh Bhatt,Emraan Hashmi,Bipasha Basu,Esha Gupta,Horror,Mystery,Romance
judwaa-2,132,63,U/A,29-Sep-17,149,David Dhawan,Sajid Nadiadwala,Varun Dhawan,Salman Khan,Anupam Kher,Action,Comedy,Drama
hate-story-3,43,20,A,4-Dec-15,131,Vishal Pandya,Bhushan Kumar,Sharman Joshi,Priyanshu Chatterjee,Zarine Khan,Drama,Thriller,Romance
half-girlfriend,52,58,U/A,18-May-17,135,Mohit Suri,Ekta Kapoor,Shraddha Kapoor,Arjun Kapoor,Rhea Chakraborty,Drama,Romance,NA
knock-out,6,30,U/A,15-Oct-10,117,Mani Shankar,Sohail Maklai,Kangana Ranaut,Irrfan Khan,Sanjay Dutt,Action,Crime,Mystery
honeymoon-travels-pvt-ltd,0.4,10,U/A,23-Feb-07,120,Reema Kagti,Farhan Akhtar,Arjun Rampal,Abhay Deol,Kay Kay Menon,Comedy,Drama,Romance
tere-naal-love-ho-gaya,19,14,U/A,24-Feb-12,132,Mandeep Kumar,Renu Taurani,Riteish Deshmukh,Diljit Dosanjh,Genelia D Souza,Comedy,Drama,Romance
ghanchakkar,28,29,U/A,27-Jun-13,138,Raj Kumar Gupta,Ronnie Screwvala,Emraan Hashmi,Vidya Balan,Parvin Dabas,Comedy,Crime,Thriller
nautanki-saala,22,16,U/A,11-Apr-13,130,Rohan Sippy,Bhushan Kumar,Ayushmann Khurrana,Pooja Salvi,Gaelyn Mendonca,Comedy,Drama,NA
azhar,30,40,U/A,13-May-16,131,Anthony D'souza,Ekta Kapoor,Tony D Souza,Emraan Hashmi,Nargis Fakhri,Biography,Drama,Sport
kambakkht-ishq,47,65,U/A,3-Jul-09,142,Sabbir Khan,Sajid Nadiadwala,Sabir Khan,Akshay Kumar,Kareena Kapoor Khan,Action,Comedy,Romance
roy,35,50,U/A,12-Feb-15,147,Vikramjit Singh,Bhushan Kumar,Arjun Rampal,Ranbir Kapoor,Anupam Kher,Action,Drama,Romance
oh-my-god,0.41,3,A,8-Jan-16,96,Venu Srivaastav,Venu Mukkapati,Megha Sri,Tanish Alladi,Mhairi Calvey,Drama,Horror,NA
befikre,60,64,U/A,8-Dec-16,132,Aditya Chopra,Aditya Chopra,Ranveer Singh,Vaani Kapoor,Julie Ordon,Comedy,Drama,Romance
blue-i,38,80,U/A,16-Oct-09,119,Anthony D'souza,Dhillin Mehta,Akshay Kumar,Katrina Kaif,Sanjay Dutt,Action,Adventure,Romance
action-replayy,28,51,U,5-Nov-10,135,Vipul Amrutlal Shah,Vipul Amrutlal Shah,Akshay Kumar,Aishwarya Rai Bachchan,Aditya Roy Kapoor,Action,Comedy,Drama
jail,6,14,U/A,6-Nov-09,131,Madhur Bhandarkar,,Vipul Bhatt,Manoj Bajpayee,Atul Kulkarni,Drama,NA,NA
besharam,56,83,U/A,2-Oct-13,138,Abhinav Kashyap,Himanshu Mehra,Ranbir Kapoor,Rishi Kapoor,Neetu Singh Kapoor,Comedy,Romance,Action
tashan,29,31,U/A,24-Apr-08,154,Vijay Krishna Acharya,Aditya Chopra,Akshay Kumar,Saif Ali Khan,Kareena Kapoor Khan,Action,Drama,Romance
kalank,80,137,U/A,17-Apr-19,135,Abhishek Varman,Sajid Nadiadwala,Kriti Sanon,Varun Dhawan,Alia Bhatt,Drama,History,Romance
